logFC,PValue,FDR,Gene_name
-0.280787473,0.156732114,0.759356219,SL1344_4323
-0.297182683,0.156978457,0.759356219,rseA
-0.335992096,0.157117164,0.759356219,yheS
0.272796714,0.15717976,0.759356219,groES
0.36138291100000003,0.157471875,0.759356219,SL1344_3158
0.303348243,0.158293037,0.759356219,adh
-0.335504756,0.158994784,0.759356219,aat
0.328456615,0.159193266,0.759356219,STnc680
0.288185433,0.159758209,0.759356219,STnc520
0.29202357,0.160008809,0.759356219,SL1344_1751
-0.35623505299999997,0.160326108,0.759356219,SL1344_3270
0.250816267,0.160374013,0.759356219,fusA
0.32534737199999997,0.161407277,0.760574713,lytB
0.37407402,0.162059322,0.760574713,potD
0.27011672,0.162428759,0.760574713,SL1344_2035
-0.35134473899999996,0.162610662,0.760574713,StyR-215a
0.295707079,0.16273937900000002,0.760574713,RdlE
-0.35118309799999997,0.16367030400000002,0.76294891,emrR
0.320380335,0.165191129,0.7656059690000001,flgC
0.254214801,0.165239983,0.7656059690000001,STnc1390
-0.34962476,0.165513486,0.7656059690000001,scsA
-0.317232255,0.166000639,0.76589553,SL1344_0449
-0.30045337,0.167130888,0.7687176590000001,gppA
0.307533838,0.167464545,0.7687176590000001,speA
0.338521584,0.16888957699999999,0.7732913640000001,pipD
-0.298592125,0.169910468,0.775996164,cdsA
0.246333765,0.17070222,0.777141504,htpG
-0.306886383,0.171108108,0.777141504,SL1344_3669
0.323638752,0.171767518,0.777141504,SL1344_0161
-0.361725068,0.17188440100000002,0.777141504,xseA
0.34824717,0.17235846600000002,0.77733668,galE
-0.343705217,0.172865906,0.777681033,aroF
0.328270024,0.173487938,0.77853791,SL1344_1977
0.340809229,0.175298389,0.784710405,SL1344_0005
-0.315690717,0.176201655,0.786061114,norM
0.289803535,0.176823929,0.786061114,ptsG
0.289803535,0.176823929,0.786061114,ptsG
0.279618447,0.17690732399999998,0.786061114,rfbG
0.35195106200000004,0.17796448399999998,0.787748126,yfiA
-0.338446798,0.17816033,0.787748126,dapE
0.336417465,0.178813206,0.788094051,abc
-0.25581787300000003,0.179360425,0.788094051,SL1344_4247
0.352865531,0.179666674,0.788094051,SL1344_3290
0.243658803,0.18006894899999998,0.788094051,miaA
-0.324019225,0.180422862,0.788094051,SraF
0.303709905,0.18186892899999998,0.788853218,flgG
0.214983444,0.181957078,0.788853218,sipD
-0.35769530299999996,0.182964281,0.788853218,SL1344_0810
0.193163172,0.18322807600000002,0.788853218,STnc1160
0.278599204,0.183537625,0.788853218,ompH
-0.281475386,0.183604405,0.788853218,SL1344_3950
0.337667774,0.18365762300000002,0.788853218,hemH
0.251350719,0.18446840399999997,0.789094037,trg
-0.301474752,0.18458851699999998,0.789094037,spiR
0.19802007600000002,0.1869556,0.795653185,sipB
0.335681416,0.18741144199999998,0.795653185,plsC
0.306109733,0.187897216,0.795653185,pflA
0.19753951100000003,0.18815285399999998,0.795653185,SL1344_2993
-0.305806894,0.18832811,0.795653185,nagA
0.20775858,0.19071371899999998,0.803849412,SL1344_1221
-0.29835577399999996,0.191272124,0.804323806,SL1344_2302
-0.365025051,0.192171555,0.806226709,SL1344_3483
0.29271623,0.192879671,0.807320013,SL1344_3293
0.298997935,0.194396629,0.811785922,nrdA
0.237754285,0.196171016,0.8173037240000001,atpA
-0.24554834399999997,0.19794200399999998,0.822127555,SL1344_2208
0.23745939600000002,0.19824029199999998,0.822127555,secD
-0.298912326,0.20088530100000002,0.8311859709999999,STnc4200
0.362144125,0.20382319100000001,0.840851232,recQ
0.286710345,0.20583321100000002,0.840851232,cysD
0.295744148,0.20587225,0.840851232,caiF
-0.262339888,0.20632562699999998,0.840851232,cvrA
0.23566703600000002,0.207380818,0.840851232,eno
-0.267223586,0.207616852,0.840851232,yjeH
-0.265910157,0.20906676300000002,0.840851232,sRNA21
-0.258931683,0.20983985800000002,0.840851232,rpmH
-0.304722936,0.20995819,0.840851232,SL1344_1534
0.297654132,0.210230931,0.840851232,fruR
0.235259945,0.21055429399999998,0.840851232,samB2
0.20709569600000002,0.210625339,0.840851232,glpK
0.329181665,0.210690376,0.840851232,ybiH
-0.315125029,0.21109239800000001,0.840851232,ntpA
